-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------|----|-- ----------------------------------------------------------------------------------

-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT |----|-- Textos extraidos do arquivo PLAN_BTL_DT 

-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas |----|-- Linhas iniciando com -- e linhas em branco sao ignoradas 

-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao |----|-- Formato das linhas: posicao do texto na lista de textos, texto e traducao 

-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) |----|-- O campos de cada linha sao separados por <=>) 

-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 |----|-- IMPORTANTE: edite esse arquivo com o Notepad++, pois ele esta no formato UTF-8 


Master large shield for those who think of\r\nno other life than their own.|----|Escudo largo mítico para aqueles que não pensam\r\nem outra coisas senão seus próprios assuntos.|----|Un gran escudo mítico para aquellos\r\na quienes solamente les preocupan\r\nsus propios asuntos.

Prized large shield fitted with the Siren's\r\nSquare.|----|Escudo largo de primeira qualidade equipado com o\r\nQuadrado da Sereia.|----|Un gran escudo de primera calidad\r\nque lleva engastada una princesa\r\nde las sirenas.

Custom middle shield trusted to protect\r\nthe citizens of Celapaleis.|----|Escudo médio especial que projetado para\r\nproteger os cidadãos de Celapaleis.|----|Un escudo mediano especial diseñado\r\npara proteger a las gentes de Celapalais.

Common great shield that renders its\r\nholder a roaming fortress.|----|Grande escudo comum que transforma seu portador\r\nem uma fortaleza ambulante.|----|Un enorme escudo corriente que transforma\r\na su portador en una fortaleza ambulante.

(REPETIDO)Reinforced to the seventh order.|----|Com reforço até o nível sete.|----|Un escudo de séptima categoría\r\ndigno de un soldado.

(REPETIDO)Reinforced to the sixth order.|----|Com reforço até o nível seis.|----|Un escudo de sexta categoría\r\ndigno de un líder.

(REPETIDO)Reinforced to the fifth order.|----|Com reforço até o nível cinco.|----|Un escudo de quinta categoría\r\ndigno de un caballero.

(REPETIDO)Reinforced to the fourth order.|----|Com reforço até o nível quatro.|----|Un escudo de cuarta categoría\r\ndigno de un maestro.

(REPETIDO)Reinforced to the third order.|----|Com reforço até o nível três.|----|Un escudo de tercera categoría\r\ndigno de un gran héroe.

(REPETIDO)Reinforced to the second order.|----|Com reforço até o nível dois.|----|Un escudo de segunda categoría\r\ndigno de un emperador.

(REPETIDO)Reinforced to the first order.|----|Com reforço até o nível um.|----|Un escudo de primera categoría\r\nforjado en el mismísimo cielo.

(REPETIDO)Endowed with magnificent dragon-ore.|----|Tem como adorno um magnífico minério draconiano.|----|Un escudo incrustado con vetas\r\nde un valioso mineral draconiano.

(REPETIDO)Endowed with enchanted crystal.|----|Tem como adorno um cristal encantado.|----|Un escudo decorado con cristales\r\nde grandes poderes místicos.

(REPETIDO)Endowed with legendarily rigid steel.|----|Tem como adorno um metal legendário.|----|Un escudo decorado con vetas\r\nde un metal legendario.

(REPETIDO)Valuable relic of ages past.|----|Uma valiosa relíquia de eras passadas.|----|Un valioso vestigio de eras pasadas.

Arcane great shield born of the chaotic\r\nvoid.|----|Grande escudo arcano nascido do\r\nvazio caótico.|----|Un enorme escudo arcano surgido del caos.

(REPETIDO)Sturdier than its standard counterpart.|----|Mais resistente que seu equivalente comum.|----|Un escudo más resistente\r\nque su equivalente común.

(REPETIDO)Far more sturdy than its standard counterpart.|----|Muito mais resistente que seu equivalente comum.|----|Un escudo mucho más resistente\r\nque su equivalente común.

(REPETIDO)Infused with fire.|----|Um item infundido com fogo.|----|Un escudo cubierto de llamas.

(REPETIDO)Infused with thunder.|----|Um item infundido com raio.|----|Un escudo dotado del poder del rayo.

(REPETIDO)Infused with ice.|----|Um item infundido com gelo.|----|Un escudo cubierto de hielo.

(REPETIDO)Infused with acid.|----|Um item infundido com ácido.|----|Un escudo impregnado de ácido.

(REPETIDO)Infused with poison.|----|Um item infundido com veneno.|----|Un escudo impregnado de veneno.

(REPETIDO)Specialized to neutralize physical damage.|----|Sua especialidade é neutralizar danos físicos.|----|Un escudo diseñado especialmente\r\npara neutralizar daños físicos.

(REPETIDO)Specialized to neutralize mystic damage.|----|Sua especialidade é neutralizar danos místicos.|----|Un escudo diseñado especialmente\r\npara neutralizar daños místicos.

(REPETIDO)Valuable relic of ages past.|----|Uma valiosa relíquia de eras passadas.|----|Un valioso vestigio de eras pasadas.

Prized great shield as large as a table.|----|Grande escudo de primeira qualidade tão largo quanto uma mesa.|----|Un enorme escudo de primera calidad\r\ntan grande como una mesa de comedor.

Master great shield drawing power from\r\nsage crystals embedded within.|----|Grande escudo mítico que drena seu poder dos\r\ncristais de sabedoria nele embutidos.|----|Un enorme escudo mítico que debe su poder\r\na los cristales místicos que lo decoran.

Accessory worn about the neck\r\nto bolster mystic defense.|----|Acessório usado no pescoço para aumentar a\r\ndefesa mística.|----|Un accesorio que se coloca\r\nen torno al cuello para aumentar\r\nla defensa mística del portador.

More effective than its standard counterpart.|----|Mais eficaz que seu equivalente comum.|----|Una versión más efectiva\r\ndel collar normal.

Far more effective than its standard counterpart.|----|Muito mais eficaz que seu equivalente comum.|----|Una versión aún más efectiva\r\ndel collar normal.

Neckwear of serpentine crystal,\r\nworn to bolster mystic defense.|----|Colar de cristais serpentinos,\r\nusado para melhorar a defesa mística.|----|Un collar hecho de cristal serpentino\r\nque mejora la defensa mística.

Neckwear of iridescent crystal,\r\nworn to bolster mystic defense.|----|Colar de cristais iridescentes,\r\nusado para melhorar a defesa mística.|----|Un collar hecho de cristal iridiscente\r\nque mejora la defensa mística.

Neckwear of blacksteel worn\r\nto bolster mystic defense.|----|Colar de aço negro usado para\r\nmelhorar a defesa mística.|----|Un collar de sombracero que mejora\r\nla defensa mística de su portador.

Neckwear adorned with blue crystals,\r\nworn to strengthen mystic defense.|----|Colar adornado com cristais azuis,\r\nusado para melhorar a defesa mística.|----|Un collar decorado con cristales azules\r\nque refuerzan los ataques místicos.

Neckwear bearing the Knocker's Ceylon\r\nthat offers superb mystic protection.|----|Colar que porta a Aldrava de Ceylon,\r\noferecendo excelente proteção mística.|----|Un collar que porta un triángulo de ladrón. Otorga una gran defensa mística.

Neckwear bearing the Ondine's Pear that\r\noffers superb mystic protection.|----|Colar que porta a Gema de Ondina,\r\noferecendo excelente proteção mística.|----|Un collar engastado con un óvalo de ondina.\r\nOtorga una gran defensa mística.

Neckwear bearing the Mermaid's Barrel\r\nthat offers superb mystic protection.|----|Colar que porta a Pérola da Sereia,\r\noferecendo excelente proteção mística.|----|Un collar que porta un abalorio de nereida.\r\nOtorga una gran defensa mística.

Neckwear crafted in Melphina that\r\nbolsters mystic defense.|----|Colar fabricado em Melphina e que\r\nmelhora a defesa mística.|----|Un collar creado en Melphina que mejora\r\nla defensa mística de su portador.

Neckwear fashioned from the fragments of\r\nan idol, enchanted by a mysterious power.|----|Colar elaborado a partir dos fragmentos de um\r\nídolo e encantado com um misterioso poder.|----|Un colgante elaborado\r\ncon los restos de un tótem.\r\nEncierra un misterioso poder...

Neckwear made from scales,\r\nworn to bolster mystic defense.|----|Colar feito de escamas,\r\nusado para melhorar a defesa mística.|----|Una gargantilla hecha de caparazón\r\nque mejora la defensa mística.

Neckwear made from horns,\r\nworn to bolster mystic defense.|----|Colar feito de chifres,\r\nusado para melhorar a defesa mística.|----|Un collar hecho de cuernos\r\nque mejora la defensa mística.

Neckwear made from fangs,\r\nworn to bolster mystic defense.|----|Colar feito de presas,\r\nusado para melhorar a defesa mística.|----|Un collar hecho de colmillos\r\nque mejora la defensa mística.

Neckwear made from bones,\r\nworn to bolster mystic defense.|----|Colar feito de ossos,\r\nusado para melhorar a defesa mística.|----|Un collar hecho de hueso\r\nque mejora la defensa mística.

Neckwear made from claws,\r\nworn to bolster mystic defense.|----|Colar feito de garras,\r\nusado para melhorar a defesa mística.|----|Una cadena hecha de garras\r\nque mejora la defensa mística.

Neckwear made from skulls,\r\nworn to bolster mystic defense.|----|Colar feito de crânios,\r\nusado para melhorar a defesa mística.|----|Una cadena hecha de calaveras\r\nque mejora la defensa mística.

Neckwear made from beaks,\r\nworn to bolster mystic defense.|----|Colar feito de bicos,\r\nusado para melhorar a defesa mística.|----|Una cadena hecha de picos\r\nque mejora la defensa mística.

Neckwear made from feathers,\r\nworn to bolster mystic defense.|----|Colar feito de plumas,\r\nusado para melhorar a defesa mística.|----|Una cadena hecha de plumas\r\nque mejora la defensa mística.

Neckwear sewn of flowers,\r\nworn to bolster mystic defense.|----|Colar feito de flores entrelaçadas,\r\nusado para melhorar a defesa mística.|----|Una corona de flores entretejidas\r\nque mejora la defensa mística.

Neckwear featuring a dragon-shaped pendant\r\nto bolster mystic defense.|----|Colar com um pingente em forma de dragão,\r\nusado para melhorar a defesa mística.|----|Un collar con un colgante en forma\r\nde dragón. Mejora la defensa mística\r\nde su portador.

Neckwear crafted from a mystic fiend to\r\nbolster mystic defense.|----|Colar fabricado a partir dos restos de um demônio místico,\r\nusado para melhorar a defesa mística.|----|Una cadena hecha con los restos\r\nde un demonio místico que mejora\r\nla defensa mística de su portador.

Neckwear crafted from a sky dragon to\r\nbolster mystic defense.|----|Colar fabricado a partir dos restos de um dragão celeste,\r\nusado para melhorar a defesa mística.|----|Una cadena hecha con los restos\r\nde un dragón del cielo que mejora\r\nla defensa mística de su portador.

Neckwear that inspires apocalyptic visions.\r\nBolsters mystic defense.|----|Colar que inspira visões apocalípticas.\r\nMelhora a defesa mística.|----|Un collar que hace que su portador\r\nexperimente visiones del apocalipsis\r\ny aumenta su defensa mística.

Neckwear that inspires nihilistic fantasies.\r\nBolsters mystic defense.|----|Colar que inspira visões de destruição.\r\nMelhora a defesa mística.|----|Un collar que hace que su portador\r\nexperimente visiones de destrucción\r\ny aumenta su defensa mística.

Neckwear emblematic of life's eternal\r\ncircle.|----|Colar emblemático que representa\r\no eterno ciclo da vida.|----|Un collar que representa\r\nel eterno ciclo de la vida.

Accessory worn on the finger\r\nto increase intellect.|----|Acessório usado no dedo para aumentar\r\na inteligência do seu portador.|----|Un accesorio que se coloca en el dedo\r\npara aumentar la inteligencia del portador.

(REPETIDO)More effective than its standard counterpart.|----|Mais eficaz que seu equivalente comum.|----|Una versión más efectiva del anillo normal.

Far more effective than its standard\r\ncounterpart.|----|Muito mais eficaz que seu equivalente\r\ncomum.|----|Una versión aún más efectiva\r\ndel anillo normal.

Ring of serpentine crystal,\r\nworn to increase intellect.|----|Anel de cristais serpentinos,\r\nusado para aumentar a inteligência.|----|Un anillo hecho de cristal serpentino\r\nque aumenta la inteligencia.

Ring of iridescent crystal,\r\nworn to increase intellect.|----|Anel de cristais iridescentes,\r\nusado para aumentar a inteligência.|----|Un anillo hecho de cristal iridiscente\r\nque aumenta la inteligencia.

Ring of blacksteel,\r\nworn to increase intellect.|----|Anel de aço negro,\r\nusado para aumentar a inteligência.|----|Un anillo hecho de sombracero\r\nque aumenta la inteligencia.

Ring set with a crimson gemstone\r\nto increase intellect.|----|Anel cravejado com uma gema de cor carmesim,\r\nque aumenta a inteligência do seu portador.|----|Un valioso anillo engastado con una gema\r\nde color carmesí que aumenta la inteligencia\r\nde su portador.

Ring set with a smaragdine gemstone\r\nto increase intellect.|----|Anel cravejado com uma gema de cor esverdeada,\r\nque aumenta a inteligência do seu portador.|----|Un valioso anillo engastado con una gema\r\nde color verde que aumenta la inteligencia\r\nde su portador.

Ring set with a cerulean gemstone\r\nto increase intellect.|----|Anel cravejado com uma gema de cor azulada,\r\nque aumenta a inteligência do seu portador.|----|Un valioso anillo engastado con una gema\r\nde color azulado que aumenta la inteligencia\r\nde su portador.

Ring set with a pristine gemstone\r\nto increase intellect.|----|Anel cravejado com uma gema intocada,\r\nque aumenta a inteligência do seu portador.|----|Un valioso anillo engastado con una gema\r\nde brillo celestial que aumenta la inteligencia\r\nde su portador.

Ring bearing the Cúchulainn's Heart that\r\noffers intellectual insight.|----|Anel que porta o Coração de Herói,\r\ne que oferece ao seu portador uma grande inteligência.|----|Un anillo que porta un corazón de héroe.\r\nOtorga una gran inteligencia.

Ring bearing the Merman's French that\r\noffers intellectual insight.|----|Anel que traz o Tritão Francês,\r\ne que oferece ao seu portador uma grande inteligência.|----|Un anillo que porta un trapecio de tritón.\r\nOtorga una gran inteligencia.

Ring bearing the Alp's Briolette that offers\r\nintellectual insight.|----|Anel que traz o Cruz Heráldica,\r\ne que oferece ao seu portador uma grande inteligência.|----|Un anillo que porta una cruz de heraldo.\r\nOtorga una gran inteligencia.

Ring crafted in Elysion that increases\r\nintellect.|----|Anel fabricado em Elysion,\r\ne que aumenta a inteligência do seu portador.|----|Un anillo, obra de un artesano de Elysion,\r\nque otorga una gran inteligencia al portador.

Ring fashioned from the fragments of an idol,\r\nenchanted by a mysterious power.|----|Anel elaborado a partir dos fragmentos de um ídolo,\r\ne encantado com um misterioso poder.|----|Un sello elaborado\r\ncon los restos de un tótem.\r\nAumenta la inteligencia.

Ring worn by Hannah of the Seven.|----|Anel que foi usado por Hannah, um dos sete generais.|----|Un anillo que fue propiedad\r\nde Hannah, uno de los siete\r\ngenerales.

Ring made from scales,\r\nworn to increase intellect.|----|Anel feito de escamas,\r\nusado para aumentar a inteligência do seu portador.|----|Un anillo hecho de escamas que aumenta\r\nla inteligencia del portador.

Ring made from horns,\r\nworn to increase intellect.|----|Anel feito de chifres,\r\nusado para aumentar a inteligência do seu portador.|----|Un anillo hecho de cuernos que aumenta\r\nla inteligencia del portador.

Ring made from fangs,\r\nworn to increase intellect.|----|Anel feito de presas,\r\nusado para aumentar a inteligência do seu portador.|----|Un anillo hecho de colmillos que aumenta\r\nla inteligencia del portador.

Ring made from bones,\r\nworn to increase intellect.|----|Anel feito de ossos,\r\nusado para aumentar a inteligência do seu portador.|----|Un anillo hecho de huesos que aumenta\r\nla inteligencia del portador.

Ring made from beaks,\r\nworn to increase intellect.|----|Anel feito de bicos,\r\nusado para aumentar a inteligência do seu portador.|----|Un anillo hecho de picos que aumenta\r\nla inteligencia del portador.

Ring sculpted from coral,\r\nworn to increase intellect.|----|Anel esculpido a partir de corais,\r\nusado para aumentar a inteligência do seu portador.|----|Una sortija esculpida en coral que aumenta\r\nla inteligencia de su portador.

Ring carved from Zalewood,\r\nworn to increase intellect.|----|Anel talhado em madeira de Zale,\r\nusado para aumentar a inteligência do seu portador.|----|Una sortija tallada en madera de Zale.\r\nAumenta la inteligencia de su portador.

Ring of an ancient harpstring,\r\nworn to increase intellect.|----|Anel feito a partir das cordas de uma velha harpa,\r\nusado para aumentar a inteligência do seu portador.|----|Una sortija tejida a partir de las cuerdas\r\nde una vieja arpa. Aumenta la inteligencia\r\nde su portador.

Ring sewn of flowers,\r\nworn to increase intellect.|----|Anel feito de flores entrelaçadas,\r\nusado para aumentar a inteligência do seu portador.|----|Un anillo compuesto de flores entretejidas.\r\nAumenta la inteligencia de su portador.

Ring forged by faeries to increase intellect.|----|Anel forjado pelas fadas para aumentar a inteligência.|----|Una sortija forjada por las hadas.\r\nAumenta la inteligencia de su portador.

Ring forged with mystic power,\r\nsaid to increase intellect.|----|Anel forjado com poderes místicos,\r\nsegundo dizem aumenta a inteligência.|----|Un anillo forjado bajo una gran aura mística\r\nque, según dicen, aumenta la inteligencia\r\nde su portador.

Ring worn to symbolize lovers'\r\nendless devotion.|----|Anel que simboliza o amor eterno\r\ndos apaixonados.|----|Un anillo que simboliza el amor eterno\r\nentre dos enamorados.

Ring awarded to academians and\r\nintellectuals.|----|Anel concedido à acadêmicos e\r\nintelectuais.|----|Una sortija que se otorga\r\na los pensadores más distinguidos.

Ring cast in praise of miracles.|----|Anel forjado para comemorar um grande milagre.|----|Una sortija forjada para conmemorar\r\nun gran milagro.

Accessory worn about the wrist\r\nto raise HP.|----|Acessório usado no pulso para\r\naumentar os PV de seu portador.|----|Un accesorio que se porta en la muñeca\r\ny aumenta los PV de su portador.

(REPETIDO)More effective than its standard counterpart.|----|Mais eficaz que seu equivalente comum.|----|Una versión más efectiva\r\ndel brazalete normal.

(REPETIDO)Far more effective than its standard counterpart.|----|Muito mais eficaz que seu equivalente comum.|----|Una versión aún más efectiva\r\ndel brazalete normal.

Bracelet of serpentine crystal worn\r\nto raise HP.|----|Bracelete de cristais serpentinos,\r\nusado para aumentar os PV.|----|Un brazalete hecho de cristal serpentino\r\nque aumenta los PV del portador.

Bracelet of iridescent crystal worn\r\nto raise HP.|----|Bracelete de cristais iridescentes,\r\nusado para aumentar os PV.|----|Un brazalete hecho de cristal iridiscente\r\nque aumenta los PV del portador.

Bracelet of blacksteel,\r\nworn to raise HP.|----|Bracelete de aço negro,\r\nusado para aumentar os PV.|----|Un brazalete hecho de sombracero\r\nque aumenta los PV del portador.

Bracelet adorned with red crystals,\r\nworn to raise HP.|----|Bracelete adornado com cristais vermelhos,\r\nusado para aumentar os PV.|----|Un brazalete engalanado con cristales\r\nde color escarlata que aumentan los PV\r\nde su portador.

Bracelet bearing the Sylph's Marquise\r\nthat offers a considerable rise in HP.|----|Bracelete que porta a Marquesa de Silfo.\r\nAumenta consideravelmente os PV.|----|Un brazalete engastado con una marquesa\r\nde silfo que aumenta considerablemente\r\nlos PV de su portador.

Bracelet bearing the Pixie's Rose that\r\noffers a considerable rise in HP.|----|Bracelete que porta a Rosa de Fada.\r\nAumenta consideravelmente os PV.|----|Un brazalete engastado con una rosa\r\nde hada que aumenta considerablemente\r\nlos PV de su portador.

Bracelet bearing the Troll's Cushion that\r\noffers a considerable rise in HP.|----|Bracelete que porta o Selo de Troll.\r\nAumenta consideravelmente os PV.|----|Un brazalete engastado con un sello\r\nde troll que aumenta considerablemente\r\nlos PV de su portador.

Bracelet crafted in Nagapur that raises HP.|----|Bracelete fabricado em Nagapur que aumenta PV.|----|Una pulsera creada en Nagapur\r\nque aumenta los PV del portador.

Bracelet crafted in Undelwalt that raises HP.|----|Bracelete fabricado em Undelwalt que aumenta PV.|----|Un brazalete creado en Undelwalt\r\nque aumenta los PV del portador.

Bracelet fashioned from the fragments of\r\nan idol, enchanted by a mysterious power.|----|Bracelete elaborado a partir dos fragmentos de um\r\nídolo e encantado com um misterioso poder.|----|Una muñequera elaborada\r\ncon los restos de un tótem.\r\nEncierra un misterioso poder...

Bracelet worn by Young of the Seven.|----|Bracelete usado por Young, um dos sete generais.|----|Una muñequera que perteneció a Young,\r\nuno de los siete generales.

Bracelet made from a carapace,\r\nworn to raise HP.|----|Bracelete feito a partir de uma carapaça,\r\nusado para aumentar os PV.|----|Un brazalete hecho de caparazón\r\nque aumenta los PV del portador.

Bracelet made from shells, worn to raise HP.|----|Bracelete feito de conchas, usado para aumentar os PV.|----|Un brazalete hecho de conchas\r\nque aumenta los PV del portador.

Bracelet made from hide, worn to raise HP.|----|Bracelete feito de couro, usado para aumentar\r\nos PV.|----|Un brazalete hecho de piel curtida\r\nque aumenta los PV del portador.

Bracelet made of leather, worn to raise HP.|----|Bracelete feito de couro, usado para aumentar os PV.|----|Un brazalete hecho de cuero\r\nque aumenta los PV del portador.

Bracelet made of rubber, worn to raise HP.|----|Bracelete feito de borracha, usado para aumentar os PV.|----|Unas esposas de caucho que aumentan\r\nlos PV del portador.

Bracelet made from pelts, worn to raise HP.|----|Bracelete feito de peles, usado para aumentar os PV.|----|Un brazalete hecho de pieles\r\nque aumenta los PV del portador.

Bracelet wrought of metal, worn to raise HP.|----|Bracelete forjado em metal, usado para aumentar os PV.|----|Un brazalete hecho de metal forjado\r\nque aumenta los PV del portador.

Bracelet sculpted from coral,\r\nworn to raise HP.|----|Bracelete esculpido a partir de corais,\r\nusado para aumentar os PV.|----|Un brazalete hecho de coral esculpido\r\nque aumenta los PV del portador.

Bracelet of chiseled obsidian,\r\nworn to raise HP.|----|Bracelete feito a partir de obsidiana talhada,\r\nusado para aumentar os PV.|----|Un brazalete hecho de obsidiana tallada\r\nque aumenta los PV del portador.

Bracelet of interwoven Televa vines worn\r\nto raise HP.|----|Bracelete feito com folhas de televa entrelaçadas,\r\nusado para aumentar os PV.|----|Un brazalete elaborado con hojas\r\nde televa entretejidas. Aumenta los PV\r\ndel portador.

Bracelet consecrated to a matronly deity\r\nworn to raise HP.|----|Bracelete consagrado a uma deusa da fertilidade,\r\nusado para aumentar os PV.|----|Un brazalete consagrado a una diosa\r\nde la fertilidad que aumenta los PV\r\ndel portador.

Bracelet sanctified by spirits,\r\nworn to raise HP.|----|Bracelete santificado pelos espíritos,\r\nusado para aumentar os PV.|----|Un brazalete santificado por los espíritus\r\nque aumenta los PV del portador.

Bracelet donned by knights,\r\nworn to defend the wrists and raise HP.|----|Bracelete usado por cavaleiros,\r\na fim de proteger seus pulsos e aumentar os PV.|----|Un guantelete que portan los caballeros\r\npara proteger sus muñecas y aumentar\r\nsus PV.

Bracelet that celebrates success and\r\nprosperity.|----|Bracelete que celebra o sucesso e a\r\nprosperidade.|----|Una muñequera que atrae el éxito\r\ny la prosperidad.

Bracelet that bespeaks a compassionate\r\nheart.|----|Bracelete que revela a compaixão do coração\r\ndo seu proprietário.|----|Una muñequera que revela la compasión\r\nde su propietario.

Bracelet conferred upon the righteous\r\nand true.|----|Bracelete que somente pode ser usado por\r\npessoas justas e honestas.|----|Una muñequera que sólo pueden llevar\r\nlas personas justas y honestas.

Accessory worn on the ear to bolster\r\nphysical defense.|----|Acessório usado na orelha para melhorar a\r\ndefesa física.|----|Un accesorio que se coloca\r\nen la oreja. Mejora la defensa\r\nfísica del portador.

(REPETIDO)More effective than its standard counterpart.|----|Mais eficaz que seu equivalente comum.|----|Una versión más efectiva\r\ndel pendiente normal.

(REPETIDO)Far more effective than its standard counterpart.|----|Muito mais eficaz que seu equivalente comum.|----|Una versión aún más efectiva\r\ndel pendiente normal.

Earring of serpentine crystal,\r\nworn to bolster physical defense.|----|Brincos de cristais serpentinos,\r\nusados para melhorar a defesa física.|----|Un pendiente hecho de cristal serpentino\r\nque mejora la defensa física del portador.

Earring of iridescent crystal,\r\nworn to bolster physical defense.|----|Brincos de cristais iridescentes,\r\nusados para melhorar a defesa física.|----|Un pendiente hecho de cristal iridiscente\r\nque mejora la defensa física del portador.

Earring of blacksteel,\r\nworn to bolster physical defense.|----|Brincos de aço negro,\r\nusados para melhorar a defesa física.|----|Un pendiente hecho de sombracero\r\nque mejora la defensa física del portador.

Earring set with a crimson gemstone\r\nto bolster physical defense.|----|Brincos contendo uma gema de cor carmesim\r\npara melhorar a defesa física.|----|Un pendiente de color carmesí que mejora\r\nla defensa física de su portador.

Earring set with a smaragdine gemstone\r\nto bolster physical defense.|----|Brincos contendo uma gema de cor esverdeada\r\npara melhorar a defesa física.|----|Un pendiente de intenso verdor que mejora\r\nla defensa física de su portador.

Earring set with a cerulean gemstone\r\nto bolster physical defense.|----|Brincos contendo uma gema de cor azulada\r\npara melhorar a defesa física.|----|Un pendiente de brillo celeste que mejora\r\nla defensa física de su portador.

Earring set with a pristine gemstone\r\nto bolster physical defense.|----|Brincos contendo uma gema intocada\r\npara melhorar a defesa física.|----|Un pendiente de cuerno tallado que mejora\r\nla defensa física de su portador.

Earring with inlaid stormcrystal,\r\nworn to bolster physical defense.|----|Brincos com incrustações de cristais tempestuosos,\r\nusados para melhorar a defesa física.|----|Un cinturón engalanado con un cristal\r\nde fulgurita que aumenta la defensa física\r\nde su portador.

Earring bearing the Spriggan's Step that\r\noffers superb physical protection.|----|Brincos que porta o Passo do Fauno,\r\npara proteção contra ataques físicos.|----|Un pendiente engastado\r\ncon una fantasía de fauno.\r\nProtege contra los ataques físicos.

Earring bearing the Brownie's Bead that\r\noffers superb physical protection.|----|Brincos que portam a Conta de Dríade,\r\npara proteção contra ataques físicos.|----|Un pendiente engastado\r\ncon una cuenta de dríada.\r\nProtege contra los ataques físicos.

Earring bearing the Leprechaun's Scissor\r\nthat offers superb physical protection.|----|Brincos que trazem o Trevo de Leprechaun,\r\npara proteção contra ataques físicos.|----|Un pendiente engastado\r\ncon un trébol de leprechaun.\r\nProtege contra los ataques físicos.

Earring crafted in Athlum that bolsters\r\nphysical defense.|----|Brincos fabricados em Athlum para melhorar\r\na defesa física.|----|Un pendiente creado en Athlum\r\nque mejora la defensa física.

Earring fashioned from the fragments of\r\nan idol, enchanted by a mysterious power.|----|Brincos elaborados a partir dos fragmentos de um\r\nídolo e encantados com um misterioso poder.|----|Un pendiente elaborado a partir de los restos\r\nde un tótem. Encierra un misterioso poder...

Earring worn by Hinnah of the Seven.|----|Brincos usados por Hinnah, um dos sete generais.|----|Un cinturón que perteneció a Hinnah,\r\nuno de los siete generales.

Earring made from scales,\r\nworn to bolster physical defense.|----|Brincos feitos de escamas,\r\nusados para melhorar a defesa física.|----|Un pendiente hecho de escamas\r\nque mejora la defensa física.

Earring made from horns,\r\nworn to bolster physical defense.|----|Brincos feitos de chifres,\r\nusados para melhorar a defesa física.|----|Un pendiente hecho de cuerno\r\nque mejora la defensa física.

Earring made from fangs,\r\nworn to bolster physical defense.|----|Brincos feitos de presas,\r\nusados para melhorar a defesa física.|----|Un pendiente hecho de colmillos\r\nque mejora la defensa física.

Earring made from bones,\r\nworn to bolster physical defense.|----|Brincos feitos de ossos,\r\nusados para melhorar a defesa física.|----|Un pendiente hecho de huesos\r\nque mejora la defensa física.

Earring made from beaks,\r\nworn to bolster physical defense.|----|Brincos feitos de bicos,\r\nusados para melhorar a defesa física.|----|Un pendiente hecho de picos\r\nque mejora la defensa física.

Earring made from feathers,\r\nworn to bolster physical defense.|----|Brincos feitos de plumas,\r\nusados para melhorar a defesa física.|----|Un pendiente hecho de plumas\r\nque mejora la defensa física.

Earring wrought of metal.\r\nBolsters physical defense.|----|Brincos forjados em metal.\r\nReforçam a defesa física.|----|Un arete hecho de metal forjado\r\nque mejora la defensa física.

Earring sanctified by spirits,\r\nworn to bolster physical defense.|----|Brincos santificados por espíritos,\r\nusados para melhorar a defesa física.|----|Un pendiente consagrado por los espíritus.\r\nMejora la defensa física del portador.

Earcuff wrought of metal.\r\nBolsters physical defense.|----|Brincos forjados em metal.\r\nMelhoram a defesa física.|----|Un pendiente hecho de metal forjado\r\nque mejora la defensa física.

Earring void of color or light,\r\nworn to bolster physical defense.|----|Brincos carentes de cor e brilho,\r\nusados para melhorar a defesa física.|----|Un arete carente de brillo y color\r\nque mejora la defensa física.

Earring repugnantly wrapped in compound\r\neyes. Bolsters physical defense.|----|Brincos repugnantemente coberto de olhos de\r\ninsetos. Melhora a defesa física.|----|Un repugnante pendiente cubierto de ojos\r\nde insecto que mejora la defensa física\r\ndel portador.

Earring once worn by a valiant champion.\r\nBolsters physical defense.|----|Brincos que foi usado por um corajoso guerreiro.\r\nMelhoram a defesa física.|----|Un arete que antiguamente fue propiedad\r\nde un legendario paladín. Mejora la defensa\r\nfísica del portador.

Earring that refuses to hear deterring\r\nwords.|----|Brincos que fazem seu portador se recusar a ouvir\r\npalavras desencorajadores.|----|Un aro que obliga a su portador\r\na hacer oídos sordos a quienes tratan\r\nde disuadirlo.

Earring that can tolerate all manner of\r\nprate and prattle.|----|Brincos que permitem suportar todo tipo\r\nde tagarelice e conversa fiada.|----|Un aro que permite aguantar incluso\r\nal más cargante de los charlatanes.

